ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;d.e.a.i.g$a;java.lang.Object a();violating CrySL rule for java.security.MessageDigest (on Object #18718d7aaaf84429596f98ea9a03db313cb36deb415602ba335ca6d6149701ef);First parameter (with value "SHA256") should be any of {SHA-256, SHA-384, SHA-512};$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer2167)
IncompleteOperationError;d.c.c.z.b;d.c.c.u.b a(java.lang.String,d.c.c.a,int,int,java.util.Map);violating CrySL rule for java.security.MessageDigest (on Object #18718d7aaaf84429596f98ea9a03db313cb36deb415602ba335ca6d6149701ef);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r8 = interfaceinvoke $r16.<java.util.Map: java.lang.Object get(java.lang.Object)>($r9)
IncompleteOperationError;d.c.c.z.b;d.c.c.u.b a(java.lang.String,d.c.c.a,int,int,java.util.Map);violating CrySL rule for java.security.MessageDigest (on Object #18718d7aaaf84429596f98ea9a03db313cb36deb415602ba335ca6d6149701ef);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r8 = interfaceinvoke $r33.<java.util.List: java.lang.Object get(int)>($i17)
IncompleteOperationError;d.c.c.z.b;d.c.c.u.b a(java.lang.String,d.c.c.a,int,int,java.util.Map);violating CrySL rule for java.security.MessageDigest (on Object #18718d7aaaf84429596f98ea9a03db313cb36deb415602ba335ca6d6149701ef);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r8 = interfaceinvoke $r47.<java.util.Iterator: java.lang.Object next()>()
IncompleteOperationError;d.c.c.z.b;d.c.c.u.b a(java.lang.String,d.c.c.a,int,int,java.util.Map);violating CrySL rule for java.security.MessageDigest (on Object #18718d7aaaf84429596f98ea9a03db313cb36deb415602ba335ca6d6149701ef);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r8 = interfaceinvoke $r47.<java.util.Iterator: java.lang.Object next()>()
IncompleteOperationError;d.c.c.z.b;d.c.c.u.b a(java.lang.String,d.c.c.a,int,int,java.util.Map);violating CrySL rule for java.security.MessageDigest (on Object #18718d7aaaf84429596f98ea9a03db313cb36deb415602ba335ca6d6149701ef);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r12 = virtualinvoke $r8.<java.lang.Object: java.lang.String toString()>()
IncompleteOperationError;d.c.c.z.b;d.c.c.u.b a(java.lang.String,d.c.c.a,int,int,java.util.Map);violating CrySL rule for java.security.MessageDigest (on Object #18718d7aaaf84429596f98ea9a03db313cb36deb415602ba335ca6d6149701ef);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r9 = virtualinvoke $r8.<java.lang.Object: java.lang.String toString()>()
IncompleteOperationError;d.c.c.z.b;d.c.c.u.b a(java.lang.String,d.c.c.a,int,int,java.util.Map);violating CrySL rule for java.security.MessageDigest (on Object #18718d7aaaf84429596f98ea9a03db313cb36deb415602ba335ca6d6149701ef);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r9 = virtualinvoke $r8.<java.lang.Object: java.lang.String toString()>()
IncompleteOperationError;d.c.c.z.b;d.c.c.u.b a(java.lang.String,d.c.c.a,int,int,java.util.Map);violating CrySL rule for java.security.MessageDigest (on Object #18718d7aaaf84429596f98ea9a03db313cb36deb415602ba335ca6d6149701ef);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r9 = virtualinvoke $r8.<java.lang.Object: java.lang.String toString()>()
IncompleteOperationError;d.c.c.z.b;d.c.c.u.b a(java.lang.String,d.c.c.a,int,int,java.util.Map);violating CrySL rule for java.security.MessageDigest (on Object #18718d7aaaf84429596f98ea9a03db313cb36deb415602ba335ca6d6149701ef);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r9 = virtualinvoke $r8.<java.lang.Object: java.lang.String toString()>()
IncompleteOperationError;com.tnibler.cryptocam.video.RecordingService$j;void run();violating CrySL rule for java.security.MessageDigest (on Object #18718d7aaaf84429596f98ea9a03db313cb36deb415602ba335ca6d6149701ef);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r4 = interfaceinvoke $r12.<f.b: java.lang.Object getValue()>()
